#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
187.0,Gambia,44,+1,2.0,,26.0,,16.0,,18.0,0.8,2035.0,843.0,2415119.0,Africa,54889.0,1207560.0,1187.0
188.0,Saint Martin,42,,3.0,,36.0,,3.0,1.0,1087.0,78.0,685.0,17721.0,38655.0,North America,920.0,12885.0,56.0
189.0,St. Vincent Grenadines,29,,,,29.0,,0.0,,261.0,,784.0,7067.0,110937.0,North America,3825.0,,142.0
190.0,Belize,24,+1,2.0,,18.0,+1,4.0,,60.0,5.0,2188.0,5504.0,397502.0,North America,16563.0,198751.0,182.0
191.0,Lesotho,24,,,,4.0,,20.0,,11.0,,3000.0,1401.0,2142043.0,Africa,89252.0,,714.0
192.0,Timor-Leste,24,,,,24.0,,0.0,,18.0,,1568.0,1190.0,1317995.0,Asia,54916.0,,841.0
193.0,Curaçao,23,,1.0,,19.0,,3.0,,140.0,6.0,1080.0,6582.0,164086.0,North America,7134.0,164086.0,152.0
194.0,Grenada,23,,,,23.0,,0.0,,204.0,,4130.0,36705.0,112518.0,North America,4892.0,,27.0
195.0,New Caledonia,21,,,,21.0,,0.0,,74.0,,8260.0,28936.0,285462.0,Australia/Oceania,13593.0,,35.0
196.0,Laos,19,,,,19.0,,0.0,,3.0,,14304.0,1966.0,7273919.0,Asia,382838.0,,509.0
197.0,Saint Lucia,19,,,,19.0,,0.0,,103.0,,1619.0,8817.0,183618.0,North America,9664.0,,113.0
198.0,Dominica,18,,,,18.0,,0.0,,250.0,,623.0,8655.0,71984.0,North America,3999.0,,116.0
199.0,Fiji,18,,,,18.0,,0.0,,20.0,,4000.0,4462.0,896368.0,Australia/Oceania,49798.0,,224.0
200.0,Turks and Caicos,16,,1.0,,11.0,,4.0,,413.0,26.0,562.0,14519.0,38709.0,North America,2419.0,38709.0,69.0
201.0,Saint Kitts and Nevis,15,,,,15.0,,0.0,,282.0,,447.0,8403.0,53195.0,North America,3546.0,,119.0
202.0,Falkland Islands,13,,,,13.0,,0.0,,3738.0,,1027.0,295285.0,3478.0,South America,268.0,,3.0
203.0,Greenland,13,,,,13.0,,0.0,,229.0,,3341.0,58853.0,56769.0,North America,4367.0,,17.0
204.0,Vatican City,12,,,,12.0,,0.0,,14981.0,,,,801.0,Europe,67.0,,
205.0,Montserrat,11,,1.0,,10.0,,0.0,,2204.0,200.0,61.0,12220.0,4992.0,North America,454.0,4992.0,82.0
206.0,Papua New Guinea,11,,,,8.0,,3.0,,1.0,,5637.0,630.0,8943994.0,Australia/Oceania,813090.0,,1587.0
207.0,Seychelles,11,,,,11.0,,0.0,,112.0,,,,98340.0,Africa,8940.0,,
208.0,Western Sahara,10,,1.0,,8.0,,1.0,,17.0,2.0,,,597032.0,Africa,59703.0,597032.0,
209.0,MS Zaandam,9,,2.0,,,,7.0,,,,,,,,,,
210.0,British Virgin Islands,8,,1.0,,7.0,,0.0,,265.0,33.0,212.0,7013.0,30229.0,North America,3779.0,30229.0,143.0
211.0,Caribbean Netherlands,7,,,,7.0,,0.0,,267.0,,424.0,16171.0,26220.0,North America,3746.0,,62.0
212.0,St. Barth,6,,,,6.0,,0.0,,607.0,,152.0,15389.0,9877.0,North America,1646.0,,65.0
213.0,Anguilla,3,,,,3.0,,0.0,,200.0,,180.0,11999.0,15001.0,North America,5000.0,,83.0
214.0,Saint Pierre Miquelon,1,,,,1.0,,0.0,,173.0,,,,5794.0,North America,5794.0,,
215.0,China,83483,+21,4634.0,,78444.0,+5,405.0,8.0,58.0,3.0,90410000.0,62814.0,1439323776.0,Asia,17241.0,310601.0,16.0
,Total:,2979501,"+9,480",164931.0,+883,1302470.0,"+4,703",1512100.0,18778.0,,,,,,North America,,,
,Total:,2050436,"+1,218",79584.0,+41,1173699.0,"+1,126",797153.0,12770.0,,,,,,South America,,,
,Total:,2399981,"+11,287",190453.0,+362,1340274.0,"+13,541",869254.0,6065.0,,,,,,Europe,,,
,Total:,2150633,"+32,581",53606.0,+667,1393467.0,"+21,952",703560.0,19202.0,,,,,,Asia,,,
,Total:,363608,+992,9334.0,+17,176215.0,+563,178059.0,899.0,,,,,,Africa,,,
,Total:,9273,+48,126.0,,8570.0,,577.0,1.0,,,,,,Australia/Oceania,,,
,Total:,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,Total:,9954153,"+55,606",498049.0,"+1,970",5395346.0,"+41,906",4060758.0,57719.0,1277.0,63.9,,,,All,,,
