#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
94.0,Thailand,3162,,58.0,,3053.0,+13,51.0,1.0,45.0,0.8,468175.0,6708.0,69798329.0,Asia,22074.0,1203419.0,149.0
95.0,Somalia,2878,,90.0,,868.0,,1920.0,2.0,181.0,6.0,,,15883150.0,Africa,5519.0,176479.0,
96.0,Costa Rica,2836,,12.0,,1280.0,,1544.0,6.0,557.0,2.0,38500.0,7559.0,5093524.0,North America,1796.0,424460.0,132.0
97.0,Croatia,2624,+85,107.0,,2152.0,+2,365.0,,639.0,26.0,75437.0,18375.0,4105397.0,Europe,1565.0,38368.0,54.0
98.0,Mayotte,2508,,32.0,,2218.0,,258.0,8.0,9198.0,117.0,8800.0,32272.0,272679.0,Africa,109.0,8521.0,31.0
99.0,Cuba,2330,+5,86.0,+1,2187.0,+7,57.0,1.0,206.0,8.0,159571.0,14088.0,11326670.0,North America,4861.0,131705.0,71.0
100.0,Albania,2330,+61,53.0,+2,1346.0,+48,931.0,12.0,810.0,18.0,22538.0,7832.0,2877821.0,Europe,1235.0,54299.0,128.0
101.0,Maldives,2283,,8.0,,1863.0,,412.0,9.0,4225.0,15.0,46891.0,86774.0,540381.0,Asia,237.0,67548.0,12.0
102.0,Nicaragua,2170,,74.0,,1238.0,,858.0,,328.0,11.0,,,6623436.0,North America,3052.0,89506.0,
103.0,Mali,2060,,113.0,,1387.0,,560.0,,102.0,6.0,12807.0,633.0,20237294.0,Africa,9824.0,179091.0,1580.0
104.0,Sri Lanka,2033,+19,11.0,,1639.0,+20,383.0,1.0,95.0,0.5,101226.0,4727.0,21412328.0,Asia,10532.0,1946575.0,212.0
105.0,Madagascar,2005,+83,16.0,,907.0,+45,1082.0,21.0,72.0,0.6,20066.0,725.0,27675702.0,Africa,13803.0,1729731.0,1379.0
106.0,Equatorial Guinea,2001,,32.0,,515.0,,1454.0,,1427.0,23.0,16000.0,11414.0,1401811.0,Africa,701.0,43807.0,88.0
107.0,Estonia,1986,,69.0,,1812.0,+15,105.0,,1497.0,52.0,105310.0,79388.0,1326527.0,Europe,668.0,19225.0,13.0
108.0,South Sudan,1942,,36.0,,224.0,,1682.0,1.0,174.0,3.0,10226.0,914.0,11191875.0,Africa,5763.0,310885.0,1094.0
109.0,Iceland,1836,+4,10.0,,1814.0,+1,12.0,,5381.0,29.0,74424.0,218113.0,341218.0,Europe,186.0,34122.0,5.0
110.0,Lithuania,1813,+5,78.0,,1503.0,+2,232.0,16.0,666.0,29.0,414792.0,152366.0,2722344.0,Europe,1502.0,34902.0,7.0
111.0,Lebanon,1719,+22,33.0,,1144.0,,542.0,6.0,252.0,5.0,127693.0,18708.0,6825627.0,Asia,3971.0,206837.0,53.0
112.0,Paraguay,1711,,13.0,,1013.0,,685.0,2.0,240.0,2.0,63974.0,8971.0,7131278.0,South America,4168.0,548560.0,111.0
113.0,Slovakia,1657,+14,28.0,,1455.0,,174.0,,304.0,5.0,207973.0,38093.0,5459620.0,Europe,3295.0,194986.0,26.0
114.0,Palestine,1624,+67,3.0,,446.0,,1175.0,,318.0,0.6,84621.0,16596.0,5099021.0,Asia,3140.0,1699674.0,60.0
115.0,Guinea-Bissau,1614,,22.0,,191.0,,1401.0,5.0,821.0,11.0,1500.0,763.0,1967053.0,Africa,1219.0,89412.0,1311.0
116.0,Slovenia,1572,+14,109.0,,1376.0,,87.0,2.0,756.0,52.0,99688.0,47951.0,2078936.0,Europe,1322.0,19073.0,21.0
117.0,Zambia,1531,,21.0,,1233.0,,277.0,1.0,83.0,1.0,52195.0,2841.0,18372230.0,Africa,12000.0,874868.0,352.0
118.0,New Zealand,1522,+2,22.0,,1484.0,,16.0,,304.0,4.0,387435.0,77454.0,5002100.0,Australia/Oceania,3287.0,227368.0,13.0
119.0,Sierra Leone,1394,,59.0,,914.0,,421.0,,175.0,7.0,,,7973963.0,Africa,5720.0,135152.0,
120.0,Hong Kong,1198,+1,7.0,,1095.0,+4,96.0,1.0,160.0,0.9,321498.0,42888.0,7496236.0,Asia,6257.0,1070891.0,23.0
121.0,Tunisia,1164,,50.0,,1023.0,,91.0,,99.0,4.0,68542.0,5800.0,11816956.0,Africa,10152.0,236339.0,172.0
122.0,Latvia,1115,+3,30.0,,932.0,,153.0,1.0,591.0,16.0,146874.0,77865.0,1886257.0,Europe,1692.0,62875.0,13.0
123.0,Jordan,1104,,9.0,,830.0,,265.0,3.0,108.0,0.9,362326.0,35516.0,10201800.0,Asia,9241.0,1133533.0,28.0
124.0,Yemen,1089,,293.0,,402.0,,394.0,,37.0,10.0,120.0,4.0,29813140.0,Asia,27377.0,101751.0,248443.0
125.0,Congo,1087,,37.0,,456.0,,594.0,,197.0,7.0,,,5515246.0,Africa,5074.0,149061.0,
126.0,Niger,1062,+3,67.0,,924.0,+5,71.0,,44.0,3.0,6449.0,267.0,24182675.0,Africa,22771.0,360935.0,3750.0
127.0,Benin,1053,,14.0,,292.0,,747.0,2.0,87.0,1.0,55478.0,4579.0,12116284.0,Africa,11506.0,865449.0,218.0
128.0,Cabo Verde,1027,,10.0,,568.0,,449.0,,1847.0,18.0,1560.0,2806.0,555905.0,Africa,541.0,55591.0,356.0
129.0,Malawi,1005,,13.0,,260.0,,732.0,4.0,53.0,0.7,12578.0,658.0,19119281.0,Africa,19024.0,1470714.0,1520.0
130.0,Cyprus,992,,19.0,,824.0,,149.0,,822.0,16.0,151975.0,125885.0,1207255.0,Asia,1217.0,63540.0,8.0
131.0,Burkina Faso,941,,53.0,,830.0,,58.0,,45.0,3.0,,,20890404.0,Africa,22200.0,394159.0,
132.0,Georgia,921,+2,14.0,,781.0,+1,126.0,5.0,231.0,4.0,101753.0,25507.0,3989222.0,Asia,4331.0,284944.0,39.0
133.0,Uruguay,919,,26.0,,818.0,,75.0,2.0,265.0,7.0,62765.0,18069.0,3473611.0,South America,3780.0,133600.0,55.0
134.0,Chad,865,,74.0,,778.0,,13.0,,53.0,5.0,,,16414951.0,Africa,18977.0,221824.0,
135.0,Rwanda,858,,2.0,,398.0,,458.0,,66.0,0.2,130047.0,10046.0,12945471.0,Africa,15088.0,6472736.0,100.0
136.0,Andorra,855,,52.0,,799.0,,4.0,,11066.0,673.0,3750.0,48535.0,77264.0,Europe,90.0,1486.0,21.0
137.0,Uganda,848,+15,,,761.0,,87.0,,19.0,,170789.0,3737.0,45705250.0,Africa,53898.0,,268.0
138.0,Mozambique,816,,5.0,,223.0,,588.0,,26.0,0.2,27123.0,868.0,31235488.0,Africa,38279.0,6247098.0,1152.0
139.0,Eswatini,728,,8.0,,367.0,,353.0,5.0,628.0,7.0,6551.0,5647.0,1160003.0,Africa,1593.0,145000.0,177.0
140.0,Libya,713,,18.0,,142.0,,553.0,,104.0,3.0,23075.0,3359.0,6869884.0,Africa,9635.0,381660.0,298.0
141.0,Diamond Princess,712,,13.0,,651.0,,48.0,4.0,,,,,,,,,
